occurrenceID,decimalLongitude,decimalLatitude,nameComplete
1,14.0,47.5,Dendrolimus Pini
2,11.016032,49.478313,Dendrolimus Pini
3,11.916667,50.083333,Dendrolimus Pini
4,7.766667,50.083333,Dendrolimus Pini
5,11.554118,49.647819,Dendrolimus Pini
6,10.979277,49.90383,Dendrolimus Pini
7,10.933333,49.6,Dendrolimus Pini
8,13,51,Dendrolimus Pini
9,12.2,52.116667,Dendrolimus Pini
10,10.9,49.766667,Dendrolimus Pini
11,11.683333,48.833333,Dendrolimus Pini
12,11.2,49,Dendrolimus Pini
13,9.674902,51.798374,Dendrolimus Pini
14,12.650444,54.135796,Dendrolimus Pini
15,12.55,52.416667,Dendrolimus Pini
16,10.4,49.3,Dendrolimus Pini
17,13.4,52.516667,Dendrolimus Pini
18,11.133333,51.433333,Dendrolimus Pini
19,13.9,51.95,Dendrolimus Pini
20,14.416667,51.866667,Dendrolimus Pini
21,12.466667,52.883333,Dendrolimus Pini
22,14.416667,52.25,Dendrolimus Pini
23,13.166667,52.083333,Dendrolimus Pini
24,13.55,51.6,Dendrolimus Pini
25,13.566667,51.633333,Dendrolimus Pini
26,13.933333,52.383333,Dendrolimus Pini
27,12.333333,52.6,Dendrolimus Pini
28,12.666667,52.133333,Dendrolimus Pini
29,14.3,51.983333,Dendrolimus Pini
30,14.416667,52,Dendrolimus Pini
31,14.316667,51.9,Dendrolimus Pini
32,23.8,55.4,Dendrolimus Pini
33,24.351563,54.707254,Dendrolimus Pini
34,20,52,Dendrolimus Pini
35,19.25,50.7,Dendrolimus Pini
36,31,49,Dendrolimus Pini
